effect,term,estimate,std.error,statistic,p.value,sig
fixed,(Intercept),-2.066190045,0.197279487,-10.47341554,1.14E-25,TRUE
fixed,age_dev,0.916146188,0.374848248,2.444045536,0.014523593,TRUE
fixed,language_dev,0.725453133,0.375011783,1.934480905,0.053054028,FALSE
fixed,viewpoint_dev,-0.32704731,0.333531674,-0.980558477,0.326810519,FALSE
fixed,age_dev:language_dev,-1.730036573,0.753254383,-2.296749426,0.021633068,TRUE
fixed,age_dev:viewpoint_dev,1.674549627,0.667713411,2.507886767,0.012145558,TRUE
fixed,language_dev:viewpoint_dev,1.173454009,0.66714261,1.758925291,0.078590199,FALSE
fixed,age_dev:language_dev:viewpoint_dev,-1.452738769,1.333874917,-1.089111693,0.276104634,FALSE
fixed,(Intercept),-1.860515092,0.246544918,-7.546353456,4.48E-14,TRUE
fixed,age_dev,1.423468053,0.474452928,3.000230307,0.002697755,TRUE
fixed,language_dev,0.301883776,0.472330456,0.639136801,0.522733942,FALSE
fixed,viewpoint_dev,-0.57287569,0.269899396,-2.122552692,0.033791353,TRUE
fixed,age_dev:language_dev,-1.590048856,0.942687986,-1.686718066,0.091657577,FALSE
fixed,age_dev:viewpoint_dev,1.052192178,0.539782341,1.949289738,0.051260833,FALSE
fixed,language_dev:viewpoint_dev,0.042243911,0.538831786,0.078399071,0.937510613,FALSE
fixed,age_dev:language_dev:viewpoint_dev,-0.129058232,1.07759435,-0.119765135,0.904669202,FALSE
fixed,(Intercept),-2.011056107,0.268905846,-7.478662662,7.51E-14,TRUE
fixed,age_dev,1.672889513,0.515862178,3.242900112,0.001183197,TRUE
fixed,language_dev,0.977857856,0.513889399,1.90285664,0.057059254,FALSE
fixed,viewpoint_dev,-0.330541852,0.348064475,-0.949656961,0.342286585,FALSE
fixed,age_dev:language_dev,-2.852889015,1.026173447,-2.780123598,0.005433821,TRUE
fixed,age_dev:viewpoint_dev,1.376730503,0.696880404,1.975562083,0.048204397,TRUE
fixed,language_dev:viewpoint_dev,0.930602805,0.696301037,1.336494929,0.181387557,FALSE
fixed,age_dev:language_dev:viewpoint_dev,-0.854263918,1.392097072,-0.61365255,0.53944495,FALSE
fixed,(Intercept),-3.786209666,12.55684032,-0.301525668,0.76301368,FALSE
fixed,age_dev,4.837818297,25.11394288,0.192634758,0.847245022,FALSE
fixed,language_dev,4.426283351,25.11300739,0.176254611,0.860093919,FALSE
fixed,viewpoint_dev,3.494591156,25.11247279,0.139157589,0.889325622,FALSE
fixed,age_dev:language_dev,-9.244126306,50.2240179,-0.184057881,0.853968048,FALSE
fixed,age_dev:viewpoint_dev,-6.591500566,50.22481823,-0.131239909,0.895585526,FALSE
fixed,language_dev:viewpoint_dev,-7.163210178,50.22393436,-0.142625429,0.886586013,FALSE
fixed,age_dev:language_dev:viewpoint_dev,15.6291489,100.447307,0.155595499,0.876351873,FALSE
fixed,(Intercept),-1.482259245,0.153149301,-9.678524417,3.72E-22,TRUE
fixed,age_dev,0.77287771,0.295347545,2.616841491,0.008874754,TRUE
fixed,language_dev,0.089108235,0.293223633,0.303891723,0.761210384,FALSE
fixed,viewpoint_dev,0.130686117,0.223168252,0.585594573,0.558147996,FALSE
fixed,age_dev:language_dev,-0.704777195,0.586460286,-1.201747522,0.229461363,FALSE
fixed,age_dev:viewpoint_dev,0.88903458,0.446121028,1.992810303,0.046282223,TRUE
fixed,language_dev:viewpoint_dev,0.478597543,0.446063766,1.072935259,0.283300165,FALSE
fixed,age_dev:language_dev:viewpoint_dev,0.368968951,0.892598926,0.413364772,0.679339381,FALSE
fixed,(Intercept),-2.002761636,0.242921468,-8.244481859,1.66E-16,TRUE
fixed,age_dev,1.435843236,0.463290036,3.099231849,0.001940231,TRUE
fixed,language_dev,0.253061533,0.461686122,0.548124626,0.583606333,FALSE
fixed,viewpoint_dev,-0.538430443,0.336777445,-1.598772278,0.109871211,FALSE
fixed,age_dev:language_dev,-2.995161936,0.934370234,-3.205540829,0.001348089,TRUE
fixed,age_dev:viewpoint_dev,1.543238647,0.673972314,2.28976564,0.022034906,TRUE
fixed,language_dev:viewpoint_dev,1.53193797,0.674070768,2.272666378,0.023046292,TRUE
fixed,age_dev:language_dev:viewpoint_dev,-0.502788112,1.347110986,-0.373234364,0.708974022,FALSE
fixed,(Intercept),-1.780515459,0.204710403,-8.697728263,3.39E-18,TRUE
fixed,age_dev,0.698808952,0.392953105,1.778352029,0.075346056,FALSE
fixed,language_dev,-0.113421321,0.394957731,-0.287173314,0.773979618,FALSE
fixed,viewpoint_dev,0.047712324,0.245313535,0.194495277,0.845788094,FALSE
fixed,age_dev:language_dev,-1.191484012,0.787666729,-1.512675309,0.130362154,FALSE
fixed,age_dev:viewpoint_dev,1.336203814,0.491415376,2.719092399,0.006546132,TRUE
fixed,language_dev:viewpoint_dev,-0.245215529,0.490606798,-0.499820895,0.617201196,FALSE
fixed,age_dev:language_dev:viewpoint_dev,1.513998282,0.981256966,1.542917233,0.122850859,FALSE
fixed,(Intercept),-2.048961209,0.254207232,-8.060200293,7.62E-16,TRUE
fixed,age_dev,1.129651084,0.487520924,2.317133537,0.020496459,TRUE
